Iterations,MessageSize(bytes),AvgRTT(ms),MessageRate(msg/s),Bandwidth(MB/s)
1,1024,0.037555,26627.61283,54.53335109
10,1024,0.0048478,206279.1369,422.4596724
100,1024,0.00303687,329286.4034,674.3785542
1000,1024,0.001058845,944425.2936,1934.183001
10000,1024,0.0010422244,959486.268,1965.027877
100000,1024,0.00104143324,960215.1742,1966.520677
1000000,1024,0.001043660464,958166.0267,1962.324023
10000000,1024,0.00104302399,958750.7185,1963.521471
Iterations,MessageSize(bytes),AvgRTT(ms),MessageRate(msg/s),Bandwidth(MB/s)
10,1024,0.0077984,128231.4321,262.6179729
100,1024,0.00305876,326929.867,669.5523676
1000,1024,0.00105549,947427.2613,1940.331031
10000,1024,0.0010521669,950419.558,1946.459255
100000,1024,0.0010527473,949895.5732,1945.386134
1000000,1024,0.00104631459,955735.5021,1957.346308
10000000,1024,0.001045989136,956032.8744,1957.955327
Iterations,MessageSize(bytes),AvgRTT(ms),MessageRate(msg/s),Bandwidth(MB/s)
10,1024,0.0153288,65236.67867,133.6047179
20,1024,0.0052865,189161.0707,387.4018727
40,1024,0.004327425,231084.3053,473.2606573
80,1024,0.001568675,637480.6764,1305.560425
160,1024,0.0011639875,859115.7551,1759.469066
320,1024,0.00107506875,930173.0703,1904.994448
640,1024,0.00106860625,935798.3822,1916.515087
1280,1024,0.001061588281,941984.7766,1929.184823
2560,1024,0.001057238672,945860.2174,1937.121725
5120,1024,0.001026622266,974068.1003,1994.891469
10240,1024,0.001041590625,960070.0851,1966.223534
20480,1024,0.001084366699,922197.2611,1888.659991
40960,1024,0.001048952368,953332.1344,1952.424211
81920,1024,0.001033467517,967616.2854,1981.678153
163840,1024,0.001026999432,973710.3726,1994.158843
327680,1024,0.001025142526,975474.1164,1997.77099
655360,1024,0.001027512071,973224.5761,1993.163932
1310720,1024,0.001030509061,970394.1842,1987.367289
2621440,1024,0.001032810903,968231.4516,1982.938013
5242880,1024,0.001031213237,969731.54,1986.010194
10485760,1024,0.001033502226,967583.7889,1981.6116
20971520,1024,0.001034374018,966768.2896,1979.941457
